⑯⑴⑮⑿⑵⑯⑿	abandon
⑵⑬⑹⒋⑷⑬⑩	deserving
⑵⒁⑹⑮⑴⒀⒁	deshabille
⑵⑭⑥⑬③⒁②	desiccate
⑵⑬⑹⒂⑿⒌⑹	designers
⑵⑬⑹⒂⑿⑬⑩	designing
⑵⑬⑹⒂⒌⑬⑩	desiring
⑵⑬⑹⒂⒌⑯⑥	desirous
⑵⑬⑹⑬⑥②⑥	desists
⑵⑭⑥③②⑰①	desktop
⑵⑭⑥⑯⑪⑯②	desolate
⑵⑭⑥⑯⑪⒁②	desolate
⑵⑬⑥①⒊⑬⑩	despairing
⑵⑬⑥①⑮⑧②	despatched
⑵⑭⑥①⒌⑯②	desperate
⑵⑬⑥①⒂⑹⑵	despised
⑵⑬⑥①⒆⑪⑵	despoiled
⑵⑬⑥①⒆⑪⑹	despoils
⑵⑭⑥①⑰②⑥	despots
⑵⑭⑥②⑬⑿⑵	destined
⑵⑭⑥②⑬⑿⑹	destines
⑵⑭⑥②⑬⑿⑬	destiny
⑵⑬⑥②⑾⒆⑵	destroyed
⑵⑬⑥②⑾⒆⒌	destroyer
⑵⑬⑥②⑾⒆⑹	destroys
⑵⑬②⑮⑧⑯⑹	detaches
⑵⑬②⑮⑧⑬⑩	detaching
⑵⒀②⒁⑪⑬⑩	detailing
⑵⒀②⒁⑿⒀⑹	detainees
⑵⑬②⒁⑿⑬⑩	detaining
⑵⑬②⑭③②⒌	detector
⑵⑬②⑭③②⑥	detects
⑵⑬②⒍⒍⒁②	deteriorate
⑵⑬②⒋⑫⑬⑿	determine
⑵⑬②⑭⑥②⑥	detests
⑵⒀⑤⑾⒄⑿⑵	dethroned
⑵⒀⑤⑾⒄⑿⑹	dethrones
⑵⑭②⑯⑿⒁②	detonate
⑵⒀②⑱⒌⑬⑩	detouring
⑵⑬②⑾⑮③②	detract
⑵⒀②⑾⒁⑿⑵	detrained
⑵⒀②⑾⒁⑿⑹	detrains
⑵⒏⑥⑯⑵⑪⑬	deucedly
⑵⒆⑧⑫⒈③⑥	deutschmarks
⑵⒀⑷⑮⑪⒏⑵	devalued
⑵⒀⑷⑮⑪⒏⑹	devalues
⑵⑬⑷⑭⑪⑯①	develop
⑵⒀⑷⒎⑿②⑥	deviants
⑵⒀⑷⑬⒁②⑥	deviates
⑵⑬⑷⒂⑥⑯⑹	devices
⑵⑭⑷⑯⑪⑬⑦	devilish
⑵⑭⑷⑯⑪⑬⑩	devilling
⑵⑭⑷⑯⑪⑾⑬	devilry
⑵⒀⑷⒎⑥⑪⑬	deviously
⑵⑬⑷⒂⑹⑯⑹	devises
⑵⑬⑷⒂⑹⑬⑩	devising
⑵⑬⑷⑰⑪⑷⑵	devolved
⑵⑬⑷⑰⑪⑷⑹	devolves
⑵⑬⑷⒄⑿⒎⑿	devonian
⑵⑬⑷⒄②⑯⑵	devoted
⑵⑭⑷⑯②⒀⑹	devotees
⑵⑬⑷⒄②⑬⑩	devoting
⑵⑬⑷⒄⑦⑯⑿	devotion
⑵⑬⑷⑲⒌⑬⑩	devouring
⑵⑬⑷⑲②⑪⑬	devoutly
⑵⒂⑯⑵⑭⑫⑵	diademed
⑵⒂⑯⑵⑭⑫⑹	diadems
⑵⒂⑯⑶⑿⒄⑹	diagnose
⑵⒂⑯⑶⑾⑮⑫	diagram
⑵⒂⑯⑪⑭③②	dialect
⑵⒂⑯⑪⑰⑶⑹	dialogues
⑵⒂⑮⑫⑬②⒌	diameter
⑵⒂⑯⑫⑯⑿⑵	diamond
⑵⒂⑯④⑾⑮⑫	diaphragm
⑵⒂⒌⑬⑥②⑥	diarists
⑵⒂⑮⑥①⒌⑯	diaspora
⑵⒂⑯②⑾⒂⑴	diatribe
⑵⑬③⑬⑴⒋⑵	dickybird
⑵⑬③②⒁②⑥	dictates
⑵⑬③②⒁②⒌	dictator
⑵⑬③②⑯⑫⑹	dictums
⑵⑬④⒌⑯⑿⑥	difference
⑵⑬④⒌⑯⑿②	different
⑵⑬④⑾⑮③②	diffract
⑵⑬④⒏⑥⑪⑬	diffusely
⑵⑬④⒏⑹⑯⑹	diffuses
⑵⑬④⒏⑹⑬⑩	diffusing
⑵⑬④⒏⑺⑯⑿	diffusion
⑵⒂⑻⑭⑥②⑥	digests
⑵⑬⑻⑬②⑯⑪	digital
⑵⑬⑶⑿⑬④⒂	dignify
⑵⑬⑶⑿⑬②⑬	dignity
⑵⒂⑶⑾⑮④⑥	digraphs
⑵⒂⑶⑾⑭⑥②	digressed
⑵⒂⑪⒁②⑯⑵	dilated
⑵⒂⑪⒁②⑬⑩	dilating
⑵⒂⑪⒁⑦⑯⑿	dilation
⑵⑬⑪⑯②⒌⑬	dilatory
⑵⑬⑪⑭⑫⑯⑹	dilemmas
⑵⒂⑪⒅②⑯⑵	diluted
⑵⒂⑪⒅②⑬⑩	diluting
⑵⒂⑪⒅⑦⑯⑿	dilution
⑵⑬⑫⑬⑿⑬⑦	diminish
⑵⑬⑫①⑯⑪⑵	dimpled
⑵⑬⑫①⑯⑪⑹	dimples
⑵⑬⑫①⑪⑬⑩	dimpling
⑵⑬⑿⑻⑬⑪⑬	dingily
⑵⑬⑩⑶⑯⑪⑹	dingles
⑵⑬⑿⒌②⒂⑫	dinnertime
⑵⒂⑿⑯⑥⒉⑹	dinosaurs
⑵⒂⒌⑳⑫⑯⑹	dioramas
⑵⒂⑰③⑥⒂⑵	dioxide
⑵⑬④⑤⑰⑩⑹	diphthongs
⑵⑬①⑪⒄⑫⑯	diploma
⑵⑬①⑥②⑬③	dipstick
⑵⑬①②⑬③⑥	diptychs
⑵⑬⑾⑭③②⒌	director
⑵⑬⑾⑭③②⑥	directs
⑵⒂⒌④⑯⑪⑬	direfully
⑵⒋⑿⑵⑯⑪⑹	dirndls
⑵⒋②⑬⑯⑥②	dirtiest
⑵⑬⑥⒁⑴⑯⑪	disable
⑵⑬⑥⑯⑴⒏⑹	disabuse
⑵⑬⑥⑯⑶⑾⒀	disagree
⑵⑬⑥⑯⑪⑲⑵	disallowed
⑵⑬⑥⑯⑪⑲⑹	disallows
⑵⑬⑥⑯①⒍⑵	disappeared
⑵⑬⑥⑯①⒍⑹	disappears
⑵⑬⑥⒈⑫⑬⑩	disarming
⑵⑬⑥⒌⒁⑿⑻	disarrange
⑵⑬⑥⒌⒁⑬⑩	disarraying
⑵⑬⑹⑳⑥②⒌	disaster
⑵⑬⑥⑯⑷⑲⑵	disavowed
⑵⑬⑥⑯⑷⑲⑹	disavows
⑵⑬⑥⑴⑮⑿⑵	disband
⑵⑬⑥⑴⒃⑵⑹	disbuds
⑵⑬⑥⑴⒋⑥②	disbursed
⑵⑬⑥③⒈⑵⑹	discards
⑵⑬⑥⒋⑿⑬⑩	discerning
⑵⑬⑥⑧⒈⑻⑵	discharged
⑵⑬⑥⒂①⑯⑪	disciple
⑵⑬⑥③⑪⒁⑫	disclaim
⑵⑬⑥③⑪⒄⑹	disclose
⑵⑬⑥③⒃⑪⒌	discolour
⑵⑬⑥③⒉⑵⑹	discords
⑵⑬⑥③⑲⑿②	discount
⑵⑬⑥③⒉⑥②	discoursed
⑵⑬⑥③⒃⑷⒌	discover
⑵⑬⑥③⑾⒀②	discreet
⑵⑬⑥③⒃⑥②	discussed
⑵⑬⑥⑵⒁⑿⑵	disdained
⑵⑬⑥⑵⒁⑿⑹	disdains
⑵⑬⑹⒀⑹⑯⑹	diseases
⑵⑬⑥④⒁⑷⒌	disfavour
⑵⑬⑥④⑬⑶⒌	disfigure
⑵⑬⑥⑶⒉⑻⑵	disgorged
⑵⑬⑥⑶⑾⒁⑥	disgrace
⑵⑬⑥⑶⒂⑹⑵	disguised
⑵⑬⑥⑶⒃⑥②	disgust
⑵⑬⑥⑮⑴⒀⑪	dishabille
⑵⑬⑦③⑪⑰⑤	dishcloth
⑵⑬⑦③⑪⑲②	dishclout
⑵⑬⑦④⑱⑪⑹	dishfuls
⑵⑬⑦⑬⑯⑥②	dishiest
⑵⑬⑥⑰⑿⒌⑵	dishonoured
⑵⑬⑥⑰⑿⒌⑹	dishonours
⑵⑬⑦⑼⑰⑦⒌	dishwasher
⑵⑬⑦⑼⒇②⒌	dishwater
⑵⑬⑥⑬⑿②⒋	disinter
⑵⑬⑥⑻⒆⑿②	disjoint
⑵⑬⑥⑪⒂③②	disliked
⑵⑬⑥⑪⒂③⑥	dislikes
⑵⑬⑥⑪⑰⑻⑵	dislodged
⑵⑬⑥⑪⒆⑯⑪	disloyal
⑵⑬⑹⑫⑯⑪⑬	dismally
⑵⑬⑥⑫⒁⑬⑩	dismaying
⑵⑬⑥⑫⑬⑥②	dismissed
⑵⑬⑥⑫⑲⑿②	dismount
⑵⑬⑥⑯⑴⒁⑵	disobeyed
⑵⑬⑥⑯⑴⒁⑹	disobeys
⑵⑬⑥⒉⑵⒌⑵	disordered
⑵⑬⑥⒉⑵⒌⑹	disorders
⑵⑬⑥⒉⒎⑿②	disorient
⑵⑬⑥⒄⑿⑬⑩	disowning
⑵⑬⑥①⒌⑯②	disparate
⑵⑬⑥①⑭⑪⑵	dispelled
⑵⑬⑥①⑭⑪⑹	dispels
⑵⑬⑥①⑭⑿⑥	dispense
⑵⑬⑥①⒋⑥②	dispersed
⑵⑬⑥①⑪⒁⑥	displace
⑵⑬⑥①⑪⒁⑵	displayed
⑵⑬⑥①⑪⒁⑹	displays
⑵⑬⑥①⑪⒀⑹	displease
⑵⑬⑥①⒉②⑥	disports
⑵⑬⑥①⒄⑹⑵	disposed
⑵⑬⑥①⑾⒅④	disproof
⑵⑬⑥①⑾⒅⑷	disprove
⑵⑬⑥①⒏②⑥	disputes
⑵⑬⑥⑾⑬①⒊	disrepair
⑵⑬⑥⑾⒄⑴⑵	disrobed
⑵⑬⑥⑾⒄⑴⑹	disrobes
⑵⑬⑥⑾⒃①②	disrupt
⑵⑬⑥⑭③②⑥	dissects
⑵⑬⑥⑭⑿②⒌	dissenter
⑵⑬⑥⑥⑭⑷⒌	dissever
⑵⑬⑥⑬①⒁②	dissipate
⑵⑬⑥⑯⑪⒅②	dissolute
⑵⑬⑹⑰⑪⑷⑵	dissolved
⑵⑬⑹⑰⑪⑷⑹	dissolves
⑵⑬⑥⑼⒁⑵⑹	dissuades
⑵⑬⑥②⑳④⑥	distaffs
⑵⑬⑥②⑯⑿⑥	distance
⑵⑬⑥②⑯⑿②	distant
⑵⑬⑥②⒁⑥②	distaste
⑵⑬⑥②⑭⑿⑵	distend
⑵⑬⑥②⑬⑪⑵	distilled
⑵⑬⑥②⑬⑪⒌	distiller
⑵⑬⑥②⑬⑪⑹	distils
⑵⑬⑥②⒉②⑥	distorts
⑵⑬⑥②⑾⒁⑿	distrain
⑵⑬⑥②⑾⒇②	distraught
⑵⑬⑥②⑾⑭⑥	distress
⑵⑬⑥②⒋⑴⑵	disturbed
⑵⑬⑥②⒋⑴⑹	disturbs
⑵⑬⑥⒏⑿⒎⑿	disunion
⑵⑬⑥⒏⑿⒂②	disunite
⑵⒂⑷⑯⑶⒁②	divagate
⑵⒂⑷⒋⑻⑯⑹	diverges
⑵⒂⑷⒋⑻⑬⑩	diverging
⑵⒂⑷⒋⑥⑪⑬	diversely
⑵⒂⑷⒋⑺⑯⑿	diversion
⑵⒂⑷⒋②⑯⑵	diverted
⑵⒂⑷⒋②⑬⑩	diverting
⑵⒂⑷⑭⑥②⑥	divests
⑵⑬⑷⒂⑵⑯⑵	divided
⑵⑬⑷⒂⑵⒌⑹	dividers
⑵⑬⑷⒂⑵⑬⑩	dividing
⑵⑬⑷⒂⑿⑪⑬	divinely
⑵⑬⑷⒂⑿⒌⑹	diviners
⑵⑬⑷⒂⑿⑬⑩	divining
⑵⑬⑷⑬⑺⑯⑿	division
⑵⑬⑷⒂⑹⒌⑹	divisors
⑵⑬⑷⒉⑥⒀⑹	divorcees
⑵⑬⑷⒉⑥⑯⑹	divorces
⑵⑬⑷⒉⑥⑬⑩	divorcing
⑵⒂⑷⒃⑪⑻⑵	divulged
⑵⑬⑹⑬⑯⑥②	dizziest
⑵⑬⑹⑬⑿⑯⑥	dizziness
⑻⑬⑴⒅②⒎⑿	djiboutian
⑵⑰③⑯②⑯⑵	docketed
⑵⑰③⑯②⑬⑩	docketing
⑵⑰③⑨⒈⑵⑹	dockyards
⑵⑰③②⒌⑯②	doctorate
⑵⑰③②⒌⑬⑩	doctoring
⑵⑰③②⑾⑬⑿	doctrine
⑵⑰⑶⑯⑵⑪⑬	doggedly
⑵⑰⑶②⑾⑰②	dogtrot
⑵⑰⑶⑼⑱⑵⑹	dogwoods
⑵⒄⑪④⑯⑪⑬	dolefully
⑵⑰⑪⑫⑭⑿⑹	dolmens
⑵⑰⑪④⑬⑿⑹	dolphins
⑵⑰⑫⑬⑥⒂⑪	domicile
⑵⑰⑫⑬⑿⒁②	dominate
⑵⑰⑫⑬⑿⒍⑵	domineered
⑵⑰⑫⑬⑿⒍⑹	domineers
⑵⑰⑫⑬⑿⑬⑹	dominies
⑵⑯⑫⑬⑿⒎⑿	dominion
⑵⑰⑫⑬⑿⒄⑹	dominoes
⑵⒄⑿⒁②⑯⑵	donated
⑵⒄⑿⒁②⑬⑩	donating
⑵⒄⑿⒁⑦⑯⑿	donation
⑵⑰⑿⑻⑯⑿⑹	donjons
⑵⒉③⒁⑥⑯⑹	doorcases
⑵⒉④⑾⒁⑫⑹	doorframes
⑵⒉③⒀①⒌⑹	doorkeepers
⑵⒉⑿⑰③⒌⑹	doorknockers
⑵⒉①⑪⒁②⑥	doorplates
⑵⒉①⒄⑥②⑥	doorposts
⑵⒉⑥②⑭①⑥	doorsteps
⑵⒉⑥②⑰①⒌	doorstopper
⑵⒄①⑯⑫⒀⑿	dopamine
⑵⒉⑫⑬②⒌⑬	dormitory
⑵⒄⑥⑬⑻⑯⑹	dosages
⑵⒄②⒌⑵⑪⑬	dotardly
⑵⑰②⑬⑯⑥②	dottiest
⑵⒃⑴⑪⑯②⑥	doublets
⑵⒃⑴⑪⒅⑿⑹	doubloons
⑵⑲②④⑯⑪⑬	doubtfully
⑵⑲②⑬⑩⑪⑬	doubtingly
⑵⒃⑷③⑯②⑥	dovecotes
⑵⒃⑷②⒁⑪⑵	dovetailed
⑵⒃⑷②⒁⑪⑹	dovetails
⑵⑲⑵⑬⑯⑥②	dowdiest
⑵⑲⑵⑬⑿⑯⑥	dowdiness
⑵⑲⑿⑴⒀②⑥	downbeats
⑵⑲⑿③⑳⑥②	downcast
⑵⑲⑿⑶⑾⒁⑵	downgrade
⑵⑲⑿⑪⒄⑵⑹	downloads
⑵⑲⑿①⑪⒁⑵	downplayed
⑵⑲⑿①⑪⒁⑹	downplays
⑵⑲⑿⑥②⒊⑹	downstairs
⑵⑲⑿⑼⒌⑵⑹	downwards
⑵⑲⑿⑼⑬⑿⑵	downwind
⑵⑾⑮⑴⑯⑥②	drabbest
⑵⑾⑮⑴⑿⑯⑥	drabness
⑵⑾⑮③⑫⑯⑹	drachmas
⑵⑾⑳④②⑯⑵	drafted
⑵⑾⑳④②⒀⑹	draftees
⑵⑾⑳④②⑬⑩	drafting
⑵⑾⑮⑶⑯⑪⑵	draggled
⑵⑾⑮⑶⑿⑭②	dragnet
⑵⑾⑮⑶⑯⑿⑹	dragons
⑵⑾⑯⑶⒅⑿⑵	dragooned
⑵⑾⑯⑶⒅⑿⑹	dragoons
⑵⑾⒁⑿①⒂①	drainpipe
⑵⑾⒁①⒌⑬⑹	draperies
⑵⑾⑮⑥②⑬③	drastic
⑵⑾⑳④②⑬⒌	draughtier
⑵⑾⒇⑴⑮③⑥	drawbacks
⑵⑾⒇⑴⑾⑬⑻	drawbridge
⑵⑾⑭⑵④⑯⑪	dreadful
⑵⑾⑭⑵⑿⒇②	dreadnought
⑵⑾⒀⑫⑬⑪⑬	dreamily
⑵⑾⒀⑫⑪⑯⑥	dreamless
⑵⑾⒀⑫⑪⒂③	dreamlike
⑵⑾⒍⑬⑯⑥②	dreariest
⑵⑾⒍⑬⑿⑯⑥	dreariness
⑵⑾⑭⑿⑧⑯⑹	drenches
⑵⑾⑭⑿⑧⑬⑩	drenching
⑵⑾⑭⑥⑬⑩⑹	dressings
⑵⑾⑬⑴⑯⑪⑵	dribbled
⑵⑾⑬⑴⑪⒌⑹	dribblers
⑵⑾⑬⑴⑯⑪⑹	dribbles
⑵⑾⑬⑴⑪⑬⑩	dribbling
⑵⑾⑬⑴⑪⑯②	driblet
⑵⑾⑬④②⑬⑻	driftage
⑵⑾⑬④②⑯⑵	drifted
⑵⑾⑬④②⒌⑹	drifters
⑵⑾⑬④②⑬⑩	drifting
⑵⑾⑬⑩③⒌⑹	drinkers
⑵⑾⑬⑩③⑬⑩	drinking
⑵⑾⑬⑷⑯⑪⑵	drivelled
⑵⑾⑬⑷⑯⑪⒌	driveller
⑵⑾⑬⑷⑯⑪⑹	drivels
⑵⑾⒂⑷⑼⒁⑹	driveways
⑵⑾⑬⑹⑯⑪⑵	drizzled
⑵⑾⑬⑹⑯⑪⑹	drizzles
⑵⑾⑬⑹⑪⑬⑩	drizzling
⑵⑾⒄⑪⒌⑬⑹	drolleries
⑵⑾⑰①⑲②⑥	dropouts
⑵⑾⑰①⑬⑩⑹	droppings
⑵⑾⑰⑦③⑬⑹	droshkies
⑵⑾⑲⑹⑬⑪⑬	drowsily
⑵⑾⒃⑶⑯②⑥	druggets
⑵⑾⒃⑶⑬⑥②	druggist
⑵⑾⒃⑶⑥②⒉	drugstore
⑵⑾⒃⑫④⒂⒌	drumfire
⑵⑾⒃⑫⑽⑭⑵	drumhead
⑵⑾⒃⑿③⒌⑵	drunkard
⑵⑾⒃⑩③⑯⑿	drunken
⑵⒏⑮⑪⑬②⑬	duality
⑵⒏⑴⒂⑯②⑬	dubiety
⑵⒏⑴⒎⑥⑪⑬	dubiously
⑵⒃⑴⑪⑬⑿⒌	dubliner
⑵⒃⑧⑭⑥⑯⑹	duchesses
⑵⒃③⑴⑬⑪⑵	duckbilled
⑵⒃③⑴⒉⑵⑹	duckboards
⑵⒃③⑪⑬⑩⑹	ducklings
⑵⒏⑯⑪⑬⑥②	duellist
⑵⒏③⑵⑯⑫⑹	dukedoms
⑵⒃⑪⑥⑬⑫⒌	dulcimer
⑵⒃⑫⑴⑭⑪⑹	dumbbells
⑵⒃⑫④⑲⑿⑵	dumbfound
⑵⒃⑫⑼⒁②⒌	dumbwaiter
⑵⒃⑫⑵⒃⑫⑹	dumdums
⑵⒃⑫①⑪⑬⑩	dumpling
⑵⒃⑩⑶⒌⒀⑹	dungarees
⑵⒃⑿⑻⑯⑿⑹	dungeons
⑵⒃⑩⑽⑬⑪⑹	dunghills
⑵⒏⑯⑪⑰⑶⑹	duologues
⑵⒏①⑪⑭③⑥	duplex
⑵⑨⑱⒌⑯⑿⑥	durance
⑵⒃⑥②⑴⑬⑿	dustbin
⑵⒃⑥②③⒈②	dustcart
⑵⒃⑥②③⒄②	dustcoat
⑵⒃⑥②⑫⑯⑿	dustman
⑵⒃⑥②⑫⑭⑿	dustmen
⑵⒃⑥②①⑮⑿	dustpan
⑵⒏②⒎⑴⑯⑪	dutiable
⑵⒏②⑬④⑯⑪	dutiful
⑵⑼⑭⑪⑬⑩⑹	dwellings
⑵⑼⑬⑿⑵⑯⑪	dwindle
⑵⒂⑥②⒃④⑥	dyestuffs
⑵⒂⑿⑮⑫⑬③	dynamic
⑵⒂⑿⑯⑫⒂②	dynamite
⑵⒂⑿⑯⑫⒄⑹	dynamos
⑵⑬⑿⑯⑥②⑥	dynasts
⑵⑬⑿⑯⑥②⑬	dynasty
⒋⑿⑯⑥②⑪⑬	earnestly
⒋⑤③⑼⒁③⑥	earthquakes
⒀⑥②⑼⒌⑵⑹	eastwards
⒀⑹⑬⑶⒄⑬⑩	easygoing
⒀②⑯⑴⑯⑪⑹	eatables
⒀⑷⑹⑵⑾⑰①	eavesdrop
⑬⑴⒃⑪⒎⑿⑥	ebullience
⑬⑴⒃⑪⒎⑿②	ebullient
⑭⑦⑯⑪⑰⑿⑹	echelons
⑬③⑪⑬①⑥②	eclipsed
⒀③⑰⑪⑯⑻⑬	ecology
⑬③⑰⑿⑯⑫⑬	economy
⑭③⑥②⑯⑥⑬	ecstasy
⒁⑵⑯⑪⑷⒂⑥	edelweiss
⑭⑵⑯⑴⑯⑪⑹	edibles
⑭⑵⑬④⒂⑬⑩	edifying
⑬⑵⑬⑦⑯⑿⑹	editions
⑭⑵⑬②⒉⒎⑪	editorial
⑭⑻⑯③⒁②⑥	educates
⑭⑻⑯③⒁②⒌	educator
⑬⑵⑼⒉⑵⒎⑿	edwardian
⑬④⑭③②⑯⑵	effected
⑬④⑭③②⑬⑩	effecting
⑬④⑭③②⑬⑷	effective
⑭④⑭⑿⑵⑬⑹	effendis
⑭④⒌⑷⑭⑥②	effervesced
⑬④⒀②⑿⑯⑥	effeteness
⑭④⑬③⑯⑥⑬	efficacy
⑬④⑬⑦⑯⑿②	efficient
⑭④⑪⑱⑯⑿②	effluent
⑭④⒌②⑪⑯⑥	effortless
⑬④⒏⑺⑯⑿⑹	effusions
⑭⑶①⑪⑳⑿②	eggplant
⒀⑶⒄⑬⑹⑯⑫	egoism
⒀⑶⒄⑬⑥②⑥	egoists
⒀⑶⑯②⑬⑥②	egotist
⒀⑶⒄②⑾⑬①	egotrip
⑬⑶⑾⒀⑻⑯⑥	egregious
⒀⑶⑾⑭⑥⑯⑹	egresses
⑬⑻⑬①⑦⑯⑿	egyptian
⒂⑵⒌⑵⑲⑿⑹	eiderdowns
⑬⑻⑭③②⑯⑵	ejected
⑬⑻⑭③②⑬⑩	ejecting
⑬⑻⑭③⑦⑯⑿	ejection
⑬⑻⑭③②⒌⑹	ejectors
⑬⑪⑮⑴⒌⑯②	elaborate
⑬⑪⑮⑴⒌⒁②	elaborate
⑬⑪⑮①⑥⑯⑹	elapses
⑬⑪⑮①⑥⑬⑩	elapsing
⑬⑪⑮⑥②⑬③	elastic
⑬⑪⑭③②⑯⑵	elected
⑬⑪⑭③②⑬⑩	electing
⑬⑪⑭③⑦⑯⑿	election
⑬⑪⑭③②⑬⑷	elective
⑬⑪⑭③②⒌⑹	electors
⑬⑪⑭③②⑾⒄	electro
⑭⑪⑬⑶⑯⑿⑥	elegance
⑭⑪⑬⑶⑯⑿②	elegant
⑭⑪⑬⑻⒂⑯③	elegiac
⑭⑪⑬⑫⑯⑿②	element
⑭⑪⑬④⑯⑿②	elephant
⑭⑪⑬⑷⒁②⑥	elevates
⑭⑪⑬⑷⒁②⒌	elevator
⑬⑪⑭⑷⑯⑿⑹	elevens
⑬⑪⑭⑷⑯⑿⑤	eleventh
⑬⑪⑬⑥⑬②⑥	elicits
⑬⑪⑬⑺⑯⑿⑹	elisions
⑬⑪⒀②⑬⑥②	elitist
⑬⑪⑬③⑥⒌⑹	elixirs
⑬⑪⑬①⑥⑯⑹	ellipses
⑬⑪⑬①⑥⒀⑹	ellipses
⑬⑪⑬①⑥⑬⑥	ellipsis
⑬⑪⑬①②⑬③	elliptic
⒀⑪⑰⑩⑶⒁②	elongate
⑬⑫⒁⑦⑬⒁②	emaciate
⑭⑫⑯⑿⒁②⑥	emanates
⑬⑫⑴⑳⑫⒌⑹	embalmers
⑬⑫⑴⑳⑫⑬⑩	embalming
⑬⑫⑴⒈⑶⒄⑵	embargoed
⑬⑫⑴⒈⑶⒄⑹	embargoes
⑬⑫⑴⒈③⑬⑩	embarking
⑬⑫⑴⑮⑾⑯⑥	embarrass
⑭⑫⑴⑯⑥⑬⑹	embassies
⑬⑫⑴⑭⑵⑯⑵	embedded
⑬⑫⑴⑭⑵⑬⑩	embedding
⑬⑫⑴⑭⑪⑬⑦	embellish
⑬⑫⑴⑭⑹⑯⑪	embezzle
⑬⑫⑴⑬②⒌⑵	embittered
⑬⑫⑴⑬②⒌⑹	embitters
⑭⑫⑴⑪⑯⑫⑹	emblems
⑬⑫⑴⑰⑵⑬⑵	embodied
⑬⑫⑴⑰⑵⑬⑹	embodies
⑬⑫⑴⑰⑥⑯⑹	embosses
⑬⑫⑴⑰⑥⑬⑩	embossing
⑬⑫⑴⑾⒁⑥②	embraced
⑬⑫⑴⑾⒁⑺⒌	embrasure
⑬⑫⑴⑾⒆⑵⒌	embroider
⑬⑫⑴⑾⒆⑪⑵	embroiled
⑬⑫⑴⑾⒆⑪⑹	embroils
⑭⑫⑴⑾⑬⒄⑹	embryos
⑬⑫⑭⑿⑵⑯⑵	emended
⑬⑫⑭⑿⑵⑬⑩	emending
⑭⑫⒌⑯⑪⑵⑹	emeralds
⑬⑫⒋⑻⑯⑿⑥	emergence
⑬⑫⒋⑻⑯⑿②	emergent
⑬⑫⑭②⑬③⑥	emetics
⑭⑫⑬⑶⑾⒁②	emigrate
⑭⑫⑬⑶⑾⒁⑹	emigres
⑭⑫⑬⑿⑯⑿⑥	eminence
⑭⑫⑬⑿⑯⑿②	eminent
⑭⑫⑬⑾⑯②⑥	emirates
⑭⑫⑬⑥⒌⑬⑹	emissaries
⑬⑫⑬⑦⑯⑿⑹	emissions
⑬⑫⒄⑦⑯⑿⑹	emotions
⑬⑫①⒁⑪⑬⑩	impaling
⑬⑫①⑮⑿⑯⑪	empanel
⑭⑫①⑯⑤⒂⑹	empathise
⑭⑫④⑯⑥⒀⑹	emphases
⑭⑫④⑯⑥⑬⑥	emphasis
⑭⑫④⑯⑥⒂⑹	emphasise
⑬⑫④⑮②⑬③	emphatic
⑬⑫①⑬⑾⑬③	empiric
⑭⑫①⑪⒁⑿⑵	emplaned
⑭⑫①⑪⒁⑿⑹	emplanes
⑬⑫①⑪⒆⒀⑹	employees
⑬⑫①⑪⒆⒌⑹	employers
⑬⑫①⑪⒆⑬⑩	employing
⑬⑫①⒉⒎⑫⑹	emporiums
⑬⑫①⑲⒌⑬⑩	empowering
⑭⑫①②⑬⑬⑩	emptying
⑭⑫①⒂⒌⒎⑿	empyrean
⑭⑫⑨⑯⑪⒁②	emulate
⑭⑫⑨⑯⑪⑯⑥	emulous
⑬⑫⒃⑪⑦⑯⑿	emulsion
⑬⑿⒁⑴⑯⑪⑵	enabled
⑬⑿⒁⑴⑯⑪⑹	enables
⑬⑿⒁⑴⑪⑬⑩	enabling
⑬⑿⑮③②⑯⑵	enacted
⑬⑿⑮③②⑬⑩	enacting
⑬⑿⑮⑫⑯⑪⑵	enamelled
⑬⑿⑮⑫⑯⑪⑹	enamels
⑬⑿⑮⑫⒌⑬⑩	enamouring
⑬⑿③⑮⑫①②	encamped
⑬⑿③⑮⑫①⑥	encamps
⑬⑿③⒁⑥⑯⑹	encases
⑬⑿③⒁⑥⑬⑩	encasing
⑬⑿⑧⒁⑿⑬⑩	enchaining
⑬⑿⑧⑳⑿②⒌	enchanter
⑬⑿⑧⑳⑿②⑥	enchants
⑬⑿⑥⒋③⑯⑪	encircle
⑭⑿③⑪⒁⑷⑹	enclaves
⑬⑿③⑪⒄⑹⑵	enclosed
⑬⑿③⑪⒄⑺⒌	enclosure
⑬⑿③⒄⑵⑯⑵	encoded
⑬⑿③⒄⑵⑬⑩	encoding
⑬⑿③⒄⑫⒎⑫	encomium
⑬⑿③⑲⑿②⒌	encounter
⑬⑿③⒃⑾⑬⑻	encourage
⑬⑿③⑾⒄⑧②	encroached
⑬⑿③⑾⒃⑥②	encrust
⑬⑿③⑾⑬①②	encrypt
⑬⑿③⒃⑫⑴⒌	encumber
⑬⑿⑵⒁⑿⑻⒌	endanger
⑬⑿⑵⑭⑷⒌⑵	endeavoured
⑬⑿⑵⑭⑷⒌⑹	endeavours
⑭⑿⑵⑭⑫⑬③	endemic
⑬⑿⑵⒉⑥⑯⑹	endorses
⑬⑿⑵⒉⑥⑬⑩	endorsing
⑬⑿⑵⑨⑱⒌⑵	endured
