⑮⑴⑯⑥⒂	abaci
⑵⒃⑻⑯⑿	dudgeon
⑵⒏⑯⑪⑵	duelled
⑵⒏⑯⑪⑹	duels
⑵⒏⑭⑿⑯	duenna
⑵⒏⑭②⑥	duets
⑵⒃④⑯⑪	duffel
⑵⒃④⒌⑹	duffers
⑵⒅⑶⑰⑩	dugong
⑵⒃⑶⑲②	dugout
⑵⒃⑪⒌⑵	dullard
⑵⒃⑪⑬⑩	dulling
⑵⒃⑪⑪⑬	dully
⑵⒃⑫⑪⑬	dumbly
⑵⒃⑫⑬⑹	dummies
⑵⒃⑫①②	dumped
⑵⒃⑫①⒌	dumper
⑵⒃⑫①⑥	dumps
⑵⒃⑫①⑬	dumpy
⑵⒃⑩③②	dunked
⑵⒃⑩③⑥	dunks
⑵⒃⑿⑬⑩	dunning
⑵⒏①⑬⑩	duping
⑵⒋⑴⒈⑹	durbars
⑵⒃⑥③⑬	dusky
⑵⒃⑥②⒌	duster
⑵⒃⑥②⑥	dusts
⑵⒃⑥②⑬	dusty
⑵⒏②⒎⑥	duteous
⑵⒏②⑬⑹	duties
⑵⒅⑷⒁⑹	duvets
⑵⑼⒉④②	dwarfed
⑵⑼⒉④⑥	dwarfs
⑵⑼⒀⑴⑹	dweebs
⑵⑼⑭⑪⒌	dweller
⑵⑼⑭⑪⑹	dwells
⑵⑼⑭⑪②	dwelt
⑵⒂⑮⑵⑹	dyads
⒀⑶⒌⑪⑬	eagerly
⒀⑶⑯⑪⑹	eagles
⒀⑶⑪⑯②	eaglet
⒍⑵⑾⑰①	eardrop
⒍⑵⑾⒃⑫	eardrum
⒍④⑱⑪⑹	earfuls
⒋⑪⑵⑯⑫	earldom
⒍⑫⒈③②	earmarked
⒍⑫⒈③⑥	earmarks
⒋⑿⑯⑥②	earnest
⒋⑿⑬⑩⑹	earnings
⒍④⒄⑿⑹	earphones
⒍⑾⑬⑩⑹	earrings
⒋⑤⑿⒃②	earthnut
⒋⑤⑼⒋③	earthwork
⒋⑤⑼⒋⑫	earthworm
⒍⑼⑮③⑥	earwax
⒍⑼⑬⑶⑹	earwigs
⒀⑹⑯⑪⑹	easels
⒀⑹⑬⑪⑬	easily
⒀⑥②⒌⑿	eastern
⒀⑥②⒌⑹	easters
⑭⑴②⒂⑵	ebbtide
⑭⑴⑯⑿⑬	ebony
⒀⑴⑱③⑥	ebooks
⑭③⒄⑬⑩	echoing
⑬③⑪⒊⑹	eclairs
⑭⑵⑬⑬⑩	eddying
⑭⑻⑼⒁⑹	edgeways
⑭⑻⑼⒂⑹	edgewise
⑭⑻⑬⑪⑬	edgily
⑭⑻⑬⑩⑹	edgings
⒀⑵⑬③②	edict
⑭⑵⑬④⒂	edify
⑭⑵⑬②⒌	editor
⑭⑵⑬②⑥	edits
⒀⑵⒀①⒀	edp
⑬⑵⒏⑥②	educed
⒍⑬⑯⑥②	eeriest
⒍⑬⑿⑯⑥	eeriness
⑬④⒁⑥②	effaced
⑬④⑭③②	effect
⑭④⑬⑻⑬	effigy
⑭④⒌②⑥	efforts
⑭⑶⑽⑭⑵	egghead
⑭⑶⑦⒁③	eggshake
⑭⑶⑦⑭⑪	eggshell
⒀⑶⑾⑭⑥	egress
⒀⑶⑾⑯②	egret
⒁②⒀⑿⑹	eighteens
⒁②⒀⑿⑤	eighteenth
⒁②⒎⑤⑥	eightieths
⒁②⑥⑯⑫	eightsome
⑬⑻⑭③②	eject
⒀⑪⑯⑿⑵	eland
⑬⑪⑮①⑥	elapse
⑬⑪⒁②⑥	elates
⑭⑪⑴⒄⑵	elbowed
⑭⑪⑴⒄⑹	elbows
⑭⑪⑵⒌⑹	elders
⑬⑪⑭③②	elect
⑭⑪⑯⑻⑬	elegy
⑭⑪④⑬⑿	elfin
⑭⑪④⑬⑦	elfish
⑬⑪⒂⑵⑹	elides
⑬⑪⒀②⑥	elites
⑬⑪⑬①⑥	ellipse
⑬⑪⒄①②	eloped
⑬⑪⒄①⑥	elopes
⑭⑪⑥⑼⒊	elsewhere
⑬⑪⒅⑵⑹	eludes
⑭⑪⑷⒌⑹	elvers
⑭⑪⑷⑬⑦	elvish
⑬⑫⑴⑳⑫	embalm
⑬⑫⑴⒈③	embark
⑬⑫⑴⑭⑵	embed
⑭⑫⑴⒌⑹	embers
⑬⑫⑴⑰⑥	emboss
⑬⑫⑭⑿⑵	emend
⑬⑫⒋⑻⑵	emerged
⑬⑫⑬②⑥	emits
⑬⑫⑬②⒌	emitter
⑬⑫⒄⑻⑬	emoji
⑬⑫①⒁⑪	impale
⑭⑫①⒌⒌	emperor
⑭⑫①⒂⒌	empire
⑬⑫①⑪⒆	employ
⑬⑫①⑲⒌	empower
⑭⑫①②⑬	empty
⑬⑿⑮③②	enact
⑬⑿⑮⑫⒌	enamour
⑬⑿③⒁⑥	encase
⑬⑿⑧⒁⑿	enchain
⑬⑿③⒄⑵	encode
⑰⑩③⒉⑵	encored
⑰⑩③⒉⑹	encores
⑬⑿⑵⒍⑵	endeared
⑬⑿⑵⒍⑹	endears
⑭⑿⑵⑯⑵	ended
⑭⑿⑵⑬⑩	ending
⑭⑿⑵⒂⑷	endive
⑬⑿⑵⒉⑥	endorse
⑬⑿⑵⑲⑵	endowed
⑬⑿⑵⑲⑹	endows
⑬⑿⑵⒏⑵	endued
⑬⑿⑵⒏⑹	endues
⑭⑿⑬⑫⑯	enema
⑭⑿⑯⑫⑬	enemy
⑭⑿⒌⑻⑬	energy
⑬⑿④⒉⑥	enforce
⑬⑿⑶⒁⑻	engage
⑭⑿⑻⑬⑿	engine
⑬⑿⑶⒉⑻	engorge
⑬⑿⑻⒆⑿	enjoin
⑬⑿⑻⒆⑵	enjoyed
⑬⑿⑻⒆⑹	enjoys
⑬⑿⑪⒈⑻	enlarge
⑬⑿⑫⑭⑦	enmesh
⑰⑿⑼⒀⑹	ennuis
⑬⑿⑾⒁⑻	enrage
⑬⑿⑾⑬⑧	enrich
⑬⑿⑾⒄⑪	enrol
⑭⑿⑥⑯⑿	ensign
⑬⑿⑥⑿⒊	ensnare
⑬⑿⑥⒏⑵	ensued
⑬⑿⑥⒏⑹	ensues
⑬⑿⑦⑱⒌	ensure
⑬⑿②⒁⑪	entail
⑭⑿②⒌⑵	entered
⑭⑿②⒌⑹	enters
⑬⑿⑤⒏⑹	enthuse
⑬⑿②⒂⑥	entice
⑬⑿②⒂⒌	entire
⑬⑿②⒅⑫	entomb
⑰⑿②⑾⒁	entree
⑭⑿②⑾⑬	entry
⑭⑿⑷⑬⑵	envied
⑭⑿⑷⑬⑹	envies
⑭⑿⑷⒎⑥	envious
⑭⑿⑷⒆⑹	envoys
⑬⑿⑾⑮①	enwrap
⑭⑿⑹⒂⑫	enzyme
⑭①⑬③⑥	epics
⒀①⑰③⑥	epochs
⒀③⑼⑯⑪	equal
⑬③⑼⒁②	equate
⑭③⑼⒌⑬	equerry
⑭③⑼⒂⑿	equine
⑬③⑼⑬①	equip
⑬⑾⒁⑹⑵	erased
⑬⑾⒁⑹⒌	eraser
⑬⑾⒁⑺⒌	erasure
⑬⑾⑭③②	erect
⑬⑾⒄⑵⑹	erodes
⑭⑾⑯⑿⑵	errand
⑭⑾⑯⑿②	errant
⑭⑾⑳②⑯	errata
⑬⑾⒃①②	erupt
⑬⑥③⒁①	escape
⑬⑥⑧⒅⑵	eschewed
⑬⑥⑧⒅⑹	eschews
⑬⑥③⒉②	escort
⑭⑥③⒉②	escort
⒀⑭⑥①⒀	esp
⑬⑥①⒂⑵	espied
⑬⑥①⒂⑹	espies
⑬⑥①⑲⑹	espouse
⑭⑥①⑾⒀	esprit
⑭⑥⒁⑬⑩	essaying
⑭⑥⑯⑿⑥	essence
⑬⑥②⒁②	estate
⑬⑥②⒀⑫	esteem
⑭⑧⑬⑩⑹	etchings
⒀②⒀⑵⒀	etd
⑬⑤⒍⒎⑪	ethereal
⑭⑤⑬③⑥	ethics
⑭⑤⑿⑬③	ethnic
⑭⑤⑬⑪⑹	ethyls
⒏⑪⑯⑻⑬	eulogy
⒏⑿⑯③⑥	eunuchs
⒏④⑯⑿⑬	euphony
⑬⑷⒁⑵⑹	evades
⒀⑷⑯⑿⑵	evened
⒀⑷⑿⑬⑩	evening
⒀⑷⑯⑿⑹	evens
⑬⑷⑭⑿②	event
⑭⑷⒌⑫⒉	evermore
⑬⑷⑬③②	evict
⒀⑷⑯⑪⑬	evilly
⒀⑷⑯⑪⑹	evils
⑬⑷⑬⑿⑥	evince
⑬⑷⒄③②	evoked
⑬⑷⒄③⑥	evokes
⑬⑷⑰⑪⑷	evolve
⑬⑶⑹⑮⑫	exam
⑬③⑥⒀⑵	exceed
⑬③⑥⑭⑪	excel
⑬③⑥⑭⑥	excess
⑭③⑥⑭⑥	excess
⑬③⑥⒂⑹	excise
⑭③⑥⒂⑹	excise
⑬③⑥⒂②	excite
⑬⑶⑹⒋②	exert
⑬⑶⑹⒉②	exhort
⑭③⑥⒂⑪	exile
⑭③⑥⑬②	exit
⑭③⑥⒄⑫	exome
⑭③⑥①⒄	expo
⑬⑶⑹⒅⑵	exude
⒂⑴⒇⑪⑹	eyeballs
⒂⑴⑳⑸⑹	eyebaths
⒂⑴⑾⑲⑹	eyebrows
⒂③⒃①⑥	eyecups
⒂④⑱⑪⑹	eyefuls
⒂⑶⑪⑳⑥	eyeglass
⒂⑪⑯②⑥	islets
⒂⑪⑬⑵⑹	eyelids
⒂⑪⒂⑿⒌	eyeliner
④⒁⑴⒎⑿	fabian
④⒁⑴⑯⑪	fable
④⑯⑥⑳⑵	façade
④⒁⑥⒌⑹	facers
④⒁⑥⑯⑹	faces
④⑮⑥⑯②	facet
④⒁⑦⑯⑪	facial
④⒁⑦⑯⑹	fascias
④⑮⑥⒂⑪	facile
④⒁⑥⑬⑩	facing
④⑮③②⒌	factor
④⑮③②⑥	facts
④⑮⑵⑬⒌	faddier
④⒁⑵⑯⑵	faded
④⒁⑵⑬⑩	fading
④⒀⑥⒀⑹	faeces
④⑮⑶⑬⑩	fagging
④⑮⑶⑯②	faggot
④⒂⑳⑿⑥	faience
④⒁⑪⑬⑩	failing
④⒁⑪⑨⒌	failure
④⒁⑿②⒌	fainter
④⒁⑿②⑥	feints
④⒊⑯⑥②	fairest
④⒊⑿⑯⑥	fairness
④⒊⑼⒁⑹	fairways
④⒁③⑬⑩	faking
④⑳③⒍⑹	fakirs
④⒇⑪⑯⑿	fallen
④⒇⑪⑬⑩	falling
④⒇⑪⑲②	fallout
④⒇⑪②⒌	falter
④⑮⑫⑬⑿	famine
④⑮⑫⑬⑦	famish
④⒁⑫⑯⑥	famous
④⑮⑿⑥⑬	fancy
④⑮⑿④⒊	fanfare
④⑮⑿⑬⑹	fannies
④⑮⑿⑬⑩	fanning
④⒈⑯⑼⒁	faraway
④⒈⑥⑯⑹	farces
④⒊⑼⑭⑪	farewell
④⒈⑫⒌⑹	farmers
④⒈⑫⑬⑩	farming
④⒌⑳⑶⒄	farrago
④⑮⑾⒍⑹	farriers
④⑮⑾⒄⑵	farrowed
④⑮⑾⒄⑹	farrows
④⒈②⑯⑵	farted
④⒈⑸⑬⑩	farthing
④⒈②⑬⑩	farting
④⑮⑦⑯⑿	fashion
④⑳⑥⑯⑿	fasten
④⑳⑥②⒌	faster
④⑳⑥②⑥	fasts
④⒁②⑯⑪	fatal
④⒁②⑯⑵	fated
④⑳⑸⒌⑵	fathered
④⑳⑸⒌⑹	fathers
④⑮⑸⑯⑫	fathom
④⑯②⒀⑶	fatigue
④⒁②⑬⑩	feting
④⑮②⑯⑵	fatted
④⑮②⑯⑿	fatten
④⑮②⑬⒌	fattier
④⑮②⑬⑩	fatting
④⑮②⑬⑦	fattish
④⒇⑥⑬②	faucet
④⒇⑪②⑥	faults
④⒇⑪②⑬	faulty
④⒁⑷⒌⑵	favoured
④⒁⑷⒌⑹	favours
④⒇⑿⑬⑩	fawning
④⑮③⑥②	faxed
④⒀⑪②⑬	fealty
④⒍④⑯⑪	fearful
④⒍⑪⑯⑥	fearless
④⒍⑥⑯⑫	fearsome
④⒀⑥②⑥	feasts
④⑭⑸⒌⑵	feathered
④⑭⑸⒌⑹	feathers
④⑭⑸⒌⑬	feathery
④⒀⑧⒌⑵	featured
④⒀⑧⒌⑹	features
④⒀⑴⑯⑪	feeble
④⒀⑴⑪⒌	feebler
④⒀⑴⑪⑬	feebly
④⒀⑵⒌⑹	feeders
④⒀⑵⑬⑩	feeding
④⒀⑪⒌⑹	feelers
④⒀⑪⑬⑩	feeling
④⒁⑿⑬⑩	feigning
④⒀⑪⒂⑿	feline
④⑭⑪⑬⑩	felling
④⑭⑪⒄⑹	fellows
④⑭⑪⑯⑿	felon
④⒀⑫⒁⑪	female
④⒀⑫⒌⑹	femurs
④⑭⑿⑥②	fenced
④⑭⑿⑥⒌	fencer
④⑭⑿⑵⒌	fender
④⑭⑿⑵⑹	fends
④⑭⑿⑯⑪	fennel
④⑭⑾⑯⑪	feral
④⒋⑿⑬⒌	fernier
④⑭⑾⑯②	ferret
④⑭⑾⑬⑵	ferried
④⑭⑾⑬⑹	ferries
④⑭⑾⑯⑥	ferrous
④⑭⑾⒅⑪	ferrule
④⒋②⒂⑪	fertile
④⒋⑷⑬⑵	fervid
④⑭⑥②⒌	fester
④⒀②⑯⑪	fetal
④⑭⑧⑯⑹	fetches
④⑭⑧⑬⑩	fetching
④⑭②⑬⑵	fetid
④⑭②⑬⑦	fetish
④⑭②⒌⑵	fettered
④⑭②⒌⑹	fetters
④⑭②⑯⑪	fettle
④⒀②⑯⑥	foetus
④⒏⑵⑯⑪	feudal
④⒀⑷⒌⑵	fevered
④⒀⑷⒌⑹	fevers
④⒏⑯⑥②	fewest
④⒏⑿⑯⑥	fewness
④⑭⑹⑯⑹	fezes
④⒂⑮②⑥	fiats
④⑬⑴⒌⑹	fibbers
④⑬⑴⑬⑩	fibbing
④⒂⑴⒌⑹	fibres
④⑬③⑯⑪	fickle
④⑬⑵⑯⑪	fiddle
④⑬⑵⑪⒌	fiddler
④⑬⑻⑬②	fidget
④⒀⑪⑵⒌	fielder
④⒀⑪⑵⑹	fields
④⒀⑿⑵⑹	fiends
④⒍⑥⑪⑬	fiercely
④⒀④⒀⑹	fifis
④⑬④⑤⑥	fifths
④⑬④②⑬	fifty
④⒂②⒌⑹	fighters
④⒂②⑬⑩	fighting
④⑬⑶⒌⑵	figured
④⑬⑶⒌⑹	figures
④⒀⑻⒎⑿	fijian
④⑬⑪⑧②	filched
④⑬⑪⒎⑪	filial
④⒂⑪⑬⑩	filing
④⑬⑪⒌⑹	fillers
④⑬⑪⑬②	fillet
④⑬⑪⑬⑹	fillies
④⑬⑪⑬⑩	filling
④⑬⑪⑬①	fillip
④⑬⑪⑫⑵	filmed
④⑬⑪⑫⑹	films
④⑬⑪⑫⑬	filmy
④⑬⑪②⒌	filter
④⑬⑪⑤⑬	filthy
④⒂⑿⑯⑪	final
④⒂⑿⑵⒌	finder
④⒂⑿⑵⑹	finds
④⒂⑿⑪⑬	finely
④⒂⑿⒌⑬	finery
④⑬⑿⑭⑥	finesse
④⑬⑩⑶⒌	finger
④⒂⑿⑬⑩	fining
④⑬⑿⑬⑥	finis
④⑬⑿⑬⑦	finish
④⒂⑿⒂②	finite
④⑬⑿⑯⑿	finnan
④⑨⒉⑵⑹	fjords
④⒂⒌⒈⑫	firearm
④⒂⒌⑬⑩	firing
④⒋③⑬⑿	firkin
④⒋⑫⑬⑩	firming
④⒋⑫⑪⑬	firmly
④⒋⑥②⑥	firsts
④⑬⑦⒌⑹	fissures
④⑬⑦⒌⑬	fishery
④⑬⑦⑯⑹	fishes
④⑬⑦⑬⒌	fishier
④⑬⑦⑬⑩	fishing
④⑬⑥⒂⑪	fissile
④⑬⑦⑯⑿	fission
④⑬⑥②⑥	fists
④⑬②⑪⑬	fitly
④⑬②⑯⑵	fitted
④⑬②⒌⑹	fitters
④⑬②⑬⑩	fitting
④⒂⑷⒌⑹	fivers
④⑬③⑥②	fixed
④⑬⑹⑯⑹	fizzes
④⑬⑹⑬⒌	fizzier
④⑬⑹⑬⑩	fizzing
④⑬⑹⑯⑪	fizzle
④⑪⑮⑴⑬	flabby
④⑪⑮⑶⑵	flagged
④⑪⑮⑶⑹	flags
④⑪⒁⑪⑵	flailed
④⑪⒁⑪⑹	flails
④⑪⒁③②	flaked
④⑪⒁③⑥	flakes
④⑪⒁③⑬	flaky
④⑪⒁⑫⑵	flamed
④⑪⒁⑫⑹	flames
④⑪⑮⑿⑻	flange
④⑪⑮⑩③	flank
④⑪⑮⑿⑹	flans
④⑪⑮①②	flapped
④⑪⑮①⒌	flapper
④⑪⑮①⑥	flaps
④⑪⒊⑬⑩	flaring
④⑪⑮⑦②	flashed
④⑪⑮⑦⑬	flashy
④⑪⑳⑥③	flask
④⑪⑮②⑥	flats
④⑪⑮②⒌	flatter
④⑪⒇⑿②	flaunt
④⑪⒁⑷⒌	flavour
④⑪⑮③⑥	flax
④⑪⒁⑬⑩	flaying
④⑪⑭③②	flecked
④⑪⑭③⑥	flex
④⑪⑭⑻⑵	fledged
④⑪⒀⑥②	fleeced
④⑪⒀⑥⑬	fleecy
④⑪⒀⑬⑩	fleeing
④⑪⒀③⑥	fleeks
④⑪⒀②⒌	fleeter
④⑪⒀②⑥	fleets
④⑪⑭⑦⑬	fleshy
④⑪⑬③②	flicked
④⑪⑬③⒌	flicker
④⑪⑬③⑥	flicks
④⑪⒂⒌⑹	flyers
④⑪⒂②⑥	flights
④⑪⒂②⑬	flighty
④⑪⑬⑿⑧	flinch
④⑪⑬⑩⑹	flings
④⑪⑬⑿②	flint
④⑪⑬①②	flipped
④⑪⑬①⒌	flipper
④⑪⑬①⑥	flips
④⑪⒋②⑥	flirts
④⑪⑬②⑥	flits
④⑪⒄②⑥	floats
④⑪⑰③②	flocked
④⑪⑰③⑥	flocks
④⑪⑰⑶⑵	flogged
④⑪⑰⑶⑹	flogs
④⑪⒃⑵⑹	floods
④⑪⒉⑬⑩	flooring
④⑪⒅⑹⑬	floozy
④⑪⑰①②	flopped
④⑪⑰①⑬	floppy
④⑪⑰①⑥	flops
④⑪⒉⑯⑪	floral
④⑪⑲⑿⑥	flounce
④⑪⑲⒌⑵	flowered
④⑪⑲⒌⑹	flowers
④⑪⑲⒌⑬	flowery
④⑪⑲②⑥	flouts
④⑪⒄⑬⑩	flowing
④⑪⒃④②	fluffed
④⑪⒃④⑥	fluffs
④⑪⒃④⑬	fluffy
④⑪⒅⑬⑵	fluid
④⑪⒅③⑥	flukes
④⑪⒅⑫⑹	flumes
④⑪⒃⑩③	flunk
④⑪⒃⑾⑬	flurry
④⑪⒃⑦②	flushed
④⑪⒅②⑥	flutes
④⑪⒃②⒌	flutter
④⑪⒅②⑬	fluty
④⑪⒃③⑥	flux
④⑪⒂⑴⒂	flyby
④⑪⒂⑬⑩	flying
④⒄⑪⑬⑩	foaling
④⒄⑫⑬⒌	foamier
④⒄⑫⑬⑩	foaming
④⑰⑴⑬⑩	fobbing
④⒄③⑯⑪	focal
④⒄③⑯⑥	focus
④⒄⑶⑬⑹	fogeys
④⑰⑶⑬⒌	foggier
④⑰⑶⑬⑩	fogging
④⒆⑴⑯⑪	foible
④⒆⑪⑬⑩	foiling
④⒆⑥②⑥	foists
④⒄⑪⑵⒌	folder
④⒄⑪⑵⑹	folds
④⑰⑪⑬⑹	follies
④⒄⑪⑬⒄	folio
④⒄③⑪⒉	folklore
④⒄③⑥⑬	folksy
④⑰⑪⒄⑵	followed
④⑰⑪⒄⒌	follower
④⑰⑪⒄⑹	follows
④⑰⑿⑵⒌	fonder
④⑰⑿②⑥	fonts
④⒅⑪⒌⑬	foolery
④⒅⑪⑬⑩	fooling
④⒅⑪⑬⑦	foolish
④⑱②⑬⑻	footage
④⑱②⑯⑵	footed
④⑱②⒌⑹	footers
④⑱②⑬⑩	footing
④⒅②⑯⑪	footle
④⑱②⑥⒉	footsore
④⑱⑧⑱⒌	footsure
④⑱②⑼⒊	footwear
④⑰①⑬⑦	foppish
④⑰⑾⑬⑻	forage
④⑰⑾⒁⑵	forayed
④⑰⑾⒁⑹	forays
④⒌⑴⑮⑵	forbade
④⒉⑴⒊⑹	forbears
④⒌⑴⑬⑵	forbid
④⒉⑴⒉⑿	forborne
④⒉⑥⑯⑹	forces
④⒉⑥⑬⑩	forcing
④⒉⑵⑯⑵	forded
④⒉⑵⑬⑩	fording
④⒉⒈⑫⑵	forearmed
④⒉⒈⑫⑹	forearms
④⒉⑴⒄⑵	forebode
④⒉③⒉②	forecourt
④⒉⑵⑭③	foredeck
④⒉⑵⒅⑫	foredoom
④⒉④⒀②	forefeet
④⒉④⑱②	forefoot
④⒉⑶⒄⑹	forgoes
④⒉⑶⑰⑿	foregone
④⒉⑽⑭⑵	forehead
④⑰⑾⑬⑿	foreign
④⒉⑿⒄⑿	foreknown
④⒉⑿⒄⑹	foreknows
④⒉⑪⑭⑶	foreleg
④⒉⑪⑰③	forelock
④⒉⑫⑯⑿	foreman
④⒉⑿⒁⑫	forename
④⒉⑿⒅⑿	forenoon
④⒉①⒇⑹	forepaws
④⒉⑥⒁⑪	foresail
④⒉⑥⒀⑿	foreseen
④⒉⑥⒀⑹	foresees
④⒉⑦⒉⑹	foreshores
④⒉⑥⒂②	foresight
④⒉⑥⑼⒊	forswear
④⒉⑥⑼⒉	foreswore
④⒉②⑭⑪	foretell
④⒉⑤⒇②	forethought
④⒉②⑰①	foretop
④⒌⑭⑷⒌	forever
④⒉⑼⒉⑿	forewarn
④⒉⑼⒋⑵	foreword
④⒉④⑬②	forfeit
④⒌⑶⒁⑷	forgave
④⒉⑻⒌⑹	forgers
④⒉⑻⒌⑬	forgery
④⒉⑻⑯⑹	forges
④⒌⑶⑭②	forget
④⒉⑻⑬⑩	forging
④⒌⑶⑬⑷	forgive
④⒌⑶⑰②	forgot
④⒉③⑬⑩	forking
④⒌⑪⒉⑿	forlorn
④⒉⑫⑯⑪	formal
④⒉⑫⑮②	format
④⒉⑫⑬③	formic
④⒉⑫⑬⑩	forming
④⒌⑥⒁③	forsake
④⒌⑥⑱③	forsook
④⒉⑥⒅⑤	forsooth
④⒉②⒁⑹	fortes
④⒉②⑬⑹	forties
④⒉②⒎⑤	fortieth
④⒉⑧⒅⑿	fortune
④⒉⑯⑫⑹	forums
④⒉⑼⒌⑵	forward
④⑰⑥⑯⑹	fosses
④⑰⑥⑯⑪	fossil
④⑰⑥②⒌	foster
④⑲⑪⑬⑩	fouling
④⑲⑪⑪⑬	foully
④⑲⑿⑵⒌	founder
④⑲⑿⑵⑹	founds
④⑲⑿②⑥	founts
④⒉⑥③⒉	fourscore
④⒉⑥⑯⑫	foursome
④⒉②⒀⑿	fourteen
④⒉⑤⑪⑬	fourthly
④⑲⑪⒌⑹	fowlers
④⑰③⑥②	foxed
④⑰③⑥⑬	foxy
④⑾⑮③⑳	fracas
④⑾⒁⑪⒌	frailer
④⑾⒁⑫⑵	framed
④⑾⒁⑫⑹	frames
④⑾⑮⑩③	frank
④⑾⑮①⒁	frappe
④⑾⒇⑵⑹	frauds
④⑾⑲⑯⑿	frauen
④⑾⒁⑬⑩	fraying
④⑾⒀③②	freaked
④⑾⒀③⑥	freaks
④⑾⒀③⑬	freaky
④⑾⒀⑬⑩	freeing
④⑾⒀⑪⑬	freely
④⑾⒀⑺⑯	freesia
④⑾⒀⑼⒁	freeway
④⑾⒀⑹⒌	freezer
④⑾⒁②⒌	freighter
④⑾⒁②⑥	freights
④⑾⑭⑿⑧	french
④⑾⑭⑦⒌	fresher
④⑾⑭②⑥	frets
④⑾⒂⒌⑹	friars
④⑾⒂⑵⒁	friday
④⑾⑭⑿⑵	friend
④⑾⒂②⑥	frights
④⑾⑬⑪⑵	frilled
④⑾⑬⑪⑹	frills
④⑾⑬⑪⑬	frilly
④⑾⑬⑿⑻	fringe
④⑾⑬⑥③	frisk
④⑾⑬②⒌	fritter
④⑾⑬⑹⑵	frizzed
④⑾⑬⑹⑬	frizzy
④⑾⑰③⑥	frocks
④⑾⑰⑶⑹	frogs
④⑾⑰⑿⑵	frond
④⑾⒃⑿②	front
④⑾⑰⑥②	frost
④⑾⑰⑤②	frothed
④⑾⑰⑤⑥	froths
④⑾⑰⑤⑬	frothy
④⑾⒄⒌⑵	froward
④⑾⑲⑿⑵	frowned
④⑾⑲⑿⑹	frowns
④⑾⑲⑿⑬	frowny
④⑾⑲⑹⑬	frowsy
⑭④⒈⑭⑥	frs
④⑾⒅②⑥	fruits
④⑾⒅②⑬	fruity
④⑾⒃⑫①	frump
④⑾⒂⑬⑩	frying
④⒏⑦⑯⑹	fuchsias
④⒃③⒌⑹	fuckers
④⒃③⑬⑩	fucking
④⒃⑵⑯⑪	fuddle
④⒃⑻⑯⑹	fudges
④⒏⑯⑪⑵	fuelled
④⒏⑯⑪⑹	fuels
④⒃⑶⑬⒌	fuggier
④⑨⑱⒌⒌	fuhrer
④⑱⑪⒌⑹	fullers
④⑱⑪⑫⒌	fulmar
④⒏⑫⑬⑩	fuming
④⒃⑿⑵⑹	funds
④⒃⑿④⒊	funfair
④⒃⑩⑶⒂	fungi
④⒃⑩③②	funked
④⒃⑩③⑥	funks
④⒃⑩③⑬	funky
④⒃⑿⑯⑪	funnel
④⒃⑿⑬⒌	funnier
④⒋⑴⑬⑦	furbish
④⒋⑪⑬⑩	furling
④⒋⑪⑰⑩	furlong
④⒋⑪⒄⑹	furloughs
④⒋⑿⑬⑥	furnace
④⒋⑿⑬⑦	furnish
④⒃⑾⒍⑹	furriers
④⒃⑾⒄⑵	furrowed
④⒃⑾⒄⑹	furrows
④⒋⑸⒌⑵	furthered
④⒋⑸⒌⑹	furthers
④⒋②⑬⑷	furtive
④⑨⑱⒌⑬	fury
④⒏⑹⑯⑹	fuses
④⒏⑹⑬⑩	fusing
④⒏⑺⑯⑿	fusion
④⒃⑥⑯⑹	fusses
④⒃⑥⑬⒌	fussier
④⒃⑥⑬⑩	fussing
④⒃⑥②⑬	fusty
④⒏②⒂⑪	futile
④⒏⑧⒌⑹	futures
④⒃⑹⑬⒌	fuzzier
⑶⑮⑴⑯⑪	gabble
⑶⒁⑴⑯⑪	gable
⑶⑮⑵⑯⑵	gadded
⑶⑮⑵⑬⑩	gadding
⑶⑮⑻⑬②	gadget
⑶⒁⑪⑬③	gaelic
⑶⑮④⒌⑹	gaffers
⑶⒁⑻⑯⑹	gauges
⑶⑮⑶⑬⑩	gagging
⑶⑮⑶⑯⑪	gaggle
⑶⒁⑻⑬⑩	gauging
⑶⒁⑬②⑬	gaiety
⑶⒁⑿⑬⑩	gaining
⑶⒁⑿⑥⒁	gainsay
⑶⒁②⒌⑹	gaiters
⑶⑳⑪⑯⑹	galas
⑶⑮⑪⒎⑿	galleon
⑶⑮⑪⒌⑬	gallery
⑶⑮⑪⑬⑹	galleys
⑶⑮⑪⑬③	gallic
⑶⒇⑪⑬⑩	galling
⑶⑮⑪⑯⑿	gallon
⑶⑮⑪⑯①	gallop
⑶⑮⑪⒄⑹	gallows
⑶⑯⑪⑰⑦	galosh
⑶⒁⑫⑪⑬	gamely
⑶⑮⑫⒀②	gamete
⑶⒁⑫⑬⒌	gamier
⑶⒁⑫⑬⑩	gaming
⑶⑮⑫⑯⑹	gammas
⑶⑮⑫⑯⑿	gammon
⑶⑮⑫①⑥	gamps
⑶⑮⑫⑯②	gamut
⑶⑮⑿⑵⒌	gander
⑶⑮⑩⒌⑹	gangers
⑶⑮⑩⑬⑩	ganging
⑶⑮⑩⑼⒁	gangway
⑶⑮⑿⑬②	gannet
⑻⒁⑪⒌⑹	gaolers
⑻⒁⑪⑬⑩	jailing
⑶⒁①⑬⑩	gaping
⑶⑮⑾⑳⑺	garage
⑶⒈⑴⑬⑻	garbage
